     LATITUDE  LONGITUDE    X_KM    Y_KM  VALUES
     79.8121    45.0000     800    -800    3.89
     78.4638    51.3402    1000    -800    3.28
     77.0022    56.3099    1200    -800    3.81
     73.8594    63.4349    1600    -800    6.79
     72.2144    66.0375    1800    -800    7.70
     84.3100   341.5651    -200    -600   20.76
     84.6022     0.0000       0    -600    5.93
     84.3100    18.4349     200    -600    4.82
     83.5116    33.6901     400    -600    3.47
     82.3635    45.0000     600    -600    4.26
     80.9977    53.1301     800    -600    4.29
     79.4977    59.0362    1000    -600    3.75
     77.9121    63.4349    1200    -600    3.70
     83.5116   303.6901    -600    -400   27.95
     84.9111   315.0000    -400    -400   23.24
     85.9774   333.4349    -200    -400   26.03
     86.4022     0.0000       0    -400    7.45
     85.9774    26.5651     200    -400    6.88
     84.9111    45.0000     400    -400    2.73
     83.5116    56.3099     600    -400    4.15
     81.9497    63.4349     800    -400    5.22
     80.3026    68.1986    1000    -400    3.72
     78.6058    71.5651    1200    -400    4.92
     76.8773    74.0546    1400    -400    5.14
     84.3100   288.4349    -600    -200   25.54
     85.9774   296.5651    -400    -200   24.11
     87.4562   315.0000    -200    -200   19.44
     88.2013     0.0000       0    -200   16.21
     87.4562    45.0000     200    -200   17.86
     85.9774    63.4349     400    -200    1.89
     84.3100    71.5651     600    -200    3.95
     82.5790    75.9638     800    -200    4.78
     79.0428    80.5377    1200    -200    2.87
     80.9977   270.0000   -1000       0   20.32
     82.8008   270.0000    -800       0   23.87
     84.6022   270.0000    -600       0   26.43
     86.4022   270.0000    -400       0   22.68
     88.2013   270.0000    -200       0   11.86
     90.0000     0.0000       0       0   12.70
     88.2013    90.0000     200       0   28.45
     86.4022    90.0000     400       0    5.81
     84.6022    90.0000     600       0    3.82
     82.8008    90.0000     800       0    3.64
     80.9977    90.0000    1000       0    4.64
     79.1923    90.0000    1200       0    4.78
     79.0428   260.5377   -1200     200   20.41
     80.8190   258.6901   -1000     200   20.20
     82.5790   255.9638    -800     200   23.55
     84.3100   251.5651    -600     200   27.93
     85.9774   243.4349    -400     200   28.63
     87.4562   225.0000    -200     200   20.51
     88.2013   180.0000       0     200   18.71
     87.4562   135.0000     200     200   12.51
     85.9774   116.5651     400     200    3.79
     84.3100   108.4349     600     200    3.26
     82.5790   104.0362     800     200    4.46
     80.8190   101.3099    1000     200    8.30
     79.0428    99.4623    1200     200    9.88
     77.2556    98.1301    1400     200   10.20
     78.6058   251.5651   -1200     400   18.05
     80.3026   248.1986   -1000     400   19.00
     81.9497   243.4349    -800     400   21.19
     83.5116   236.3099    -600     400   24.90
     84.9111   225.0000    -400     400   25.49
     85.9774   206.5651    -200     400   18.81
     86.4022   180.0000       0     400   15.60
     85.9774   153.4349     200     400   12.79
     84.9111   135.0000     400     400    8.12
     83.5116   123.6901     600     400    4.62
     81.9497   116.5651     800     400    6.24
     80.3026   111.8014    1000     400   14.40
     78.6058   108.4349    1200     400   14.73
     77.9121   243.4349   -1200     600   15.48
     79.4977   239.0362   -1000     600   15.38
     80.9977   233.1301    -800     600   17.41
     82.3635   225.0000    -600     600   20.99
     83.5116   213.6901    -400     600   26.11
     84.3100   198.4349    -200     600   22.84
     84.6022   180.0000       0     600   19.47
     84.3100   161.5651     200     600   26.88
     83.5116   146.3099     400     600    8.94
     82.3635   135.0000     600     600    5.75
     80.9977   126.8699     800     600    6.20
     79.4977   120.9638    1000     600   11.36
     77.9121   116.5651    1200     600   13.26
     73.8594   243.4349   -1600     800   20.01
     75.4602   240.2551   -1400     800   19.43
     77.0022   236.3099   -1200     800   13.93
     78.4638   231.3402   -1000     800   15.20
     79.8121   225.0000    -800     800   15.92
     80.9977   216.8699    -600     800   17.75
     81.9497   206.5651    -400     800   22.12
     82.5790   194.0362    -200     800   20.47
     82.8008   180.0000       0     800   15.12
     82.5790   165.9638     200     800   13.92
     81.9497   153.4349     400     800   16.83
     80.9977   143.1301     600     800    8.75
     79.8121   135.0000     800     800    5.70
     78.4638   128.6598    1000     800    5.80
     77.0022   123.6901    1200     800    6.51
     68.1349   245.5560   -2200    1000   22.24
     71.4006   240.9454   -1800    1000   22.35
     74.4804   234.4623   -1400    1000   19.07
     75.9170   230.1944   -1200    1000   17.23
     77.2556   225.0000   -1000    1000   17.24
